id,memberId,type,queueId,message,read,date
NOTIF-6ACD5F,MBR-26055767,test,TST-26056400,📅 คุณได้รับกำหนดการนัดหมายใหม่ ในวันที่ 28/05/2026 10:16 น.,FALSE,2026-05-27T03:16:50.919Z
NOTIF-0E5375,MBR-26055767,test,TST-26056400,📅 คุณได้รับกำหนดการนัดหมายใหม่ ในวันที่ 28/05/2026 03:16 น.,FALSE,2026-05-27T03:17:16.318Z
NOTIF-DD48F4,MBR-26051391,test,TST-26055508,📅 คุณได้รับกำหนดการนัดหมายใหม่ ในวันที่ 27/05/2026 11:35 น.,FALSE,2026-05-27T04:32:06.888Z
NOTIF-052EBB,MBR-26068996,training,TRN-26063539,📅 คุณได้รับกำหนดการนัดหมายใหม่ ในวันที่ 13/06/2026 14:31 น.,FALSE,2026-06-12T07:31:31.884Z
NOTIF-1F26AA,MBR-26068996,test,TST-26065227,📅 คุณได้รับกำหนดการนัดหมายใหม่ ในวันที่ 13/06/2026 14:31 น.,FALSE,2026-06-12T07:31:54.950Z
NOTIF-5DE644,MBR-26055767,test,TST-26056400,📢 ถึงคิวของคุณแล้ว! กรุณาไปที่ห้องทดสอบมาตรฐานฯ ด่วนครับ,FALSE,2026-06-12T07:32:11.602Z
NOTIF-37F13D,MBR-26062048,test,TST-26062984,📅 คุณได้รับกำหนดการนัดหมายใหม่ ในวันที่ 19/06/2026 08:30 น.,FALSE,2026-06-18T10:38:03.995Z
NOTIF-9D195E,MBR-26062048,training,TRN-26068965,📅 คุณได้รับกำหนดการนัดหมายใหม่ ในวันที่ 19/06/2026 09:00 น.,FALSE,2026-06-18T10:41:40.202Z
NOTIF-65472D,MBR-26062048,test,TST-26062984,📢 ถึงคิวของคุณแล้ว! กรุณาไปที่ห้องทดสอบมาตรฐานฯ ด่วนครับ,FALSE,2026-06-18T10:43:33.526Z
NOTIF-44C44B,MBR-26062048,test,TST-26062984,📢 ถึงคิวของคุณแล้ว! กรุณาไปที่ห้องทดสอบมาตรฐานฯ ด่วนครับ,FALSE,2026-06-18T10:48:54.062Z
NOTIF-55F1D4,MBR-26055767,test,TST-26056400,📢 ถึงคิวของคุณแล้ว! กรุณาไปที่ห้องทดสอบมาตรฐานฯ ด่วนครับ,FALSE,2026-06-18T10:50:07.875Z
NOTIF-02E2F4,MBR-26062048,test,TST-26062984,📢 ถึงคิวของคุณแล้ว! กรุณาไปที่ห้องทดสอบมาตรฐานฯ ด่วนครับ,FALSE,2026-06-18T10:50:18.494Z
NOTIF-36A9EC,MBR-26062048,test,TST-26062984,📢 ถึงคิวของคุณแล้ว! กรุณาไปที่ห้องทดสอบมาตรฐานฯ ด่วนครับ,FALSE,2026-06-18T10:54:56.488Z
